i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     
99	0	0	23001.2        1.14877        1.1471         1.14877        1.1471         
100	0	0	23803.4        1.18948        1.18737        1.18948        1.18737        
101	0	0	24735.6        1.23546        1.23286        1.23546        1.23286        
102	0	0	25738.1        1.28822        1.28479        1.28822        1.28479        
103	0	0	26960.5        1.3495         1.34492        1.3495         1.34492        
104	0	0	28403.2        1.42212        1.41581        1.42212        1.41581        
105	0	0	30119.4        1.51039        1.50128        1.51039        1.50128        
106	0	0	32235.7        1.6216         1.60743        1.6216         1.60743        
107	0	0	35021.3        1.77044        1.74544        1.77044        1.74544        
108	0	0	38937.8        2.00884        1.93922        2.00884        1.93922        
109	0	0	44917.9        2.50177        2.24495        2.50177        2.24495        
110	0	0	54512.4        3.74064        2.79007        3.74064        2.79007        
111	0	0	63580.6        5.81129        3.65213        5.81129        3.65213        
112	0	0	59034.4        8.12192        4.7422         8.12192        4.7422         
113	0	0	37011.7        10.3393        5.96634        10.3393        5.96634        
114	0	0	13449.5        12.4611        7.32113        12.4611        7.32113        
115	0	0	2218.15        14.5092        8.6535         14.5092        8.6535         
116	0	0	165.295        15.7524        9.38395        15.7524        9.38395        
117	0	0	12.3936        17.0466        11.7703        17.0466        11.7703        
118	0	0	0              0              0              0              0              
119	0	0	0              0              0              0              0              
120	0	0	0              0              0              0              0              
121	0	0	0              0              0              0              0              
122	0	0	0              0              0              0              0              
123	0	0	0              0              0              0              0              
124	0	0	0              0              0              0              0              
125	0	0	0              0              0              0              0              
126	0	0	0              0              0              0              0              
127	0	0	0              0              0              0              0              
128	0	0	0              0              0              0              0              
129	0	0	0              0              0              0              0              
130	0	0	0              0              0              0              0              
131	0	0	0              0              0              0              0              
132	0	0	0              0              0              0              0              
133	0	0	0              0              0              0              0              
134	0	0	0              0              0              0              0              
135	0	0	0              0              0              0              0              
136	0	0	0              0              0              0              0              
137	0	0	0              0              0              0              0              
138	0	0	0              0              0              0              0              
139	0	0	0              0              0              0              0              
140	0	0	0              0              0              0              0              
141	0	0	0              0              0              0              0              
142	0	0	0              0              0              0              0              
143	0	0	0              0              0              0              0              
144	0	0	0              0              0              0              0              
145	0	0	0              0              0              0              0              
146	0	0	0              0              0              0              0              
147	0	0	0              0              0              0              0              
148	0	0	0              0              0              0              0              
149	0	0	0              0              0              0              0              
150	0	0	0              0              0              0              0              
151	0	0	0              0              0              0              0              
152	0	0	0              0              0              0              0              
153	0	0	0              0              0              0              0              
154	0	0	0              0              0              0              0              
155	0	0	0              0              0              0              0              
156	0	0	0              0              0              0              0              
157	0	0	0              0              0              0              0              
158	0	0	0              0              0              0              0              
159	0	0	0              0              0              0              0              
160	0	0	0              0              0              0              0              
161	0	0	0              0              0              0              0              
162	0	0	0              0              0              0              0              
163	0	0	0              0              0              0              0              
164	0	0	0              0              0              0              0              
165	0	0	0              0              0              0              0              
166	0	0	0              0              0              0              0              
167	0	0	0              0              0              0              0              
168	0	0	0              0              0              0              0              
169	0	0	0              0              0              0              0              
170	0	0	0              0              0              0              0              
171	0	0	0              0              0              0              0              
172	0	0	0              0              0              0              0              
173	0	0	0              0              0              0              0              
174	0	0	0              0              0              0              0              
175	0	0	0              0              0              0              0              
176	0	0	0              0              0              0              0              
177	0	0	0              0              0              0              0              
178	0	0	0              0              0              0              0              
179	0	0	0              0              0              0              0              
180	0	0	0              0              0              0              0              
181	0	0	0              0              0              0              0              
182	0	0	0              0              0              0              0              
183	0	0	0              0              0              0              0              
184	0	0	0              0              0              0              0              
185	0	0	0              0              0              0              0              
186	0	0	0              0              0              0              0              
187	0	0	0              0              0              0              0              
188	0	0	0              0              0              0              0              
189	0	0	0              0              0              0              0              
190	0	0	0              0              0              0              0              
191	0	0	0              0              0              0              0              
192	0	0	0              0              0              0              0              
193	0	0	0              0              0              0              0              
194	0	0	0              0              0              0              0              
195	0	0	0              0              0              0              0              
196	0	0	0              0              0              0              0              
197	0	0	0              0              0              0              0              
198	0	0	0              0              0              0              0              
199	0	0	0              0              0              0              0              
